@RELATION uploads/Austin/Austin
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {a,b}

@DATA
0.103972,0.049342,2.957680,0.187862,0.241393,0.456870,0.014703,0.108614,-26.294052,3.052596,-0.007900,-0.489644,-1.164689,0.053285,-0.330603,0.344858,-0.149316,0.289754,-0.394727,0.251916,-0.013007,0.024023,0.027803,0.024234,0.016512,0.010254,0.007164,0.010368,0.000515,0.029247,0.009904,0.010577,0.016808,0.027709,0.176638,0.044895,0.484981,0.122641,0.039639,0.668356,0.011658,0.252052,4.542244,0.963977,0.918687,0.451494,0.501219,0.523063,0.264646,0.374939,0.210672,0.190238,0.307952,0.106748,0.143360,0.048453,0.045893,0.027020,0.020588,0.011318,0.008790,0.008032,0.000772,0.052750,0.014360,0.021968,0.039857,0.013861,a
0.116432,0.055152,3.065301,0.216672,0.244828,0.592974,0.012875,0.122854,-25.588438,2.838910,-0.058793,-0.682786,-0.817229,0.145290,-0.175050,0.210221,-0.189008,0.176976,-0.250325,0.268565,-0.239880,0.033618,0.015371,0.014176,0.017955,0.021468,0.033114,0.006108,0.001671,0.003680,0.017150,0.028915,0.017988,0.031566,0.176627,0.039510,0.358781,0.121890,0.043295,0.629878,0.010914,0.247610,4.478069,0.927215,0.885805,0.563069,0.531466,0.404393,0.253615,0.210791,0.141160,0.272204,0.243234,0.189721,0.243797,0.054679,0.027214,0.028552,0.021262,0.016758,0.051955,0.003401,0.002730,0.007497,0.026848,0.050329,0.046001,0.014049,a
0.080082,0.001122,1.792739,0.399974,0.333346,0.993573,0.008095,0.179900,-33.176208,1.380349,0.539526,0.231986,0.171548,-0.050249,0.030727,0.145862,-0.069493,0.008090,-0.083681,-0.034113,-0.048440,0.006672,0.002188,0.013866,0.008038,0.086746,0.007415,0.015062,0.001748,0.004750,0.007375,0.009431,0.002399,0.024638,0.086136,0.001233,1.506934,0.097169,0.030219,0.567788,0.008555,0.213064,8.110773,0.339132,0.355743,0.315747,0.152243,0.111549,0.191655,0.206346,0.218984,0.105746,0.125019,0.190173,0.222167,0.005781,0.002147,0.012280,0.006049,0.063716,0.007546,0.013531,0.001963,0.004605,0.007305,0.008902,0.002390,0.016695,a
0.041894,0.043978,3.057905,0.176766,0.245194,0.264708,0.013188,0.036751,-24.841407,3.167789,-0.079220,-0.838930,-0.801760,-0.187926,0.077008,-0.157047,0.065027,-0.202119,-0.221050,0.317275,-0.193931,0.022025,0.012896,0.020478,0.042226,0.033872,0.020485,0.013711,0.000596,0.006626,0.010320,0.015525,0.017229,0.028959,0.020531,0.033925,0.229245,0.032409,0.027135,0.145901,0.007174,0.041507,1.670367,0.638234,0.642855,0.470027,0.327867,0.304637,0.425224,0.293649,0.178307,0.228727,0.207352,0.192505,0.246474,0.040173,0.030419,0.037553,0.059992,0.032814,0.019273,0.012805,0.000993,0.010817,0.011978,0.026382,0.033783,0.013647,a
0.105368,0.047728,3.123087,0.244052,0.273324,0.504137,0.009361,0.098841,-25.453861,2.864295,-0.104349,-0.551576,-0.563342,-0.212020,0.234527,-0.120170,-0.089655,0.031416,-0.214385,0.466433,-0.237917,0.018042,0.011317,0.033329,0.026346,0.016579,0.031069,0.009958,0.001556,0.002304,0.010357,0.015109,0.010089,0.026411,0.158018,0.032298,0.207004,0.105735,0.031634,0.678096,0.004921,0.248129,3.916877,0.941503,1.018951,0.594866,0.430638,0.328537,0.491079,0.173242,0.193772,0.200036,0.270991,0.334942,0.286083,0.033153,0.020227,0.056586,0.030831,0.015019,0.049653,0.007395,0.002665,0.002577,0.021230,0.028557,0.026515,0.014619,a
0.087179,0.032885,3.121179,0.239037,0.265611,0.515510,0.011121,0.114791,-26.887693,3.136627,-0.148431,-0.649545,-0.953649,-0.128010,-0.070845,-0.077287,0.039353,-0.176260,-0.275687,0.382884,-0.167003,0.009294,0.008594,0.059207,0.023844,0.018247,0.013749,0.012090,0.001427,0.022662,0.009245,0.015684,0.006450,0.027484,0.096810,0.043350,0.223963,0.103892,0.045841,0.467724,0.005920,0.232934,3.705277,0.737484,0.926364,0.516033,0.478274,0.309796,0.212750,0.201352,0.189471,0.236154,0.184577,0.245181,0.219881,0.011308,0.019700,0.059704,0.038278,0.021680,0.019341,0.013411,0.001643,0.027547,0.016626,0.029447,0.014801,0.012068,a
0.115958,0.038838,3.115988,0.252608,0.261192,0.732888,0.007966,0.180646,-25.613638,2.948353,0.065457,-0.610260,-0.821740,0.227101,-0.235195,0.132384,-0.167551,-0.154455,-0.327099,0.360180,-0.338665,0.015274,0.017188,0.029843,0.021058,0.021769,0.020127,0.012877,0.001228,0.008405,0.009901,0.011923,0.011949,0.024634,0.152643,0.026072,0.257479,0.123010,0.047376,0.649786,0.005428,0.261611,4.186328,0.815533,0.800913,0.436773,0.534306,0.566792,0.301236,0.231687,0.183248,0.140088,0.275411,0.249974,0.300131,0.021074,0.027812,0.047665,0.031861,0.025016,0.028240,0.014672,0.001319,0.018859,0.018689,0.025348,0.026224,0.009717,a
0.091976,0.031918,3.129556,0.224022,0.248069,0.540575,0.008450,0.119199,-25.779799,2.730040,-0.478691,-0.674530,-1.042218,0.198670,-0.316465,0.145584,-0.069809,-0.190152,-0.288053,0.291245,-0.187171,0.015477,0.014124,0.027851,0.015312,0.013455,0.017886,0.016821,0.001047,0.018334,0.009088,0.013823,0.011228,0.019813,0.154497,0.034806,0.159070,0.126513,0.048816,0.644417,0.006980,0.241924,4.288281,0.792095,0.732243,0.450739,0.491621,0.447456,0.224309,0.205103,0.231531,0.254598,0.190980,0.209370,0.285238,0.022264,0.020744,0.029018,0.023594,0.016896,0.020746,0.011577,0.000933,0.028191,0.011774,0.027032,0.019582,0.007317,a
0.127560,0.005444,3.134623,0.264445,0.257468,0.798008,0.010595,0.273269,-28.358904,2.927527,-0.448624,-0.537970,-1.061435,0.495869,-0.460248,0.098981,0.147129,-0.225248,-0.208443,0.422935,-0.341700,0.019588,0.020078,0.018588,0.013925,0.011456,0.018841,0.010307,0.000892,0.011962,0.007526,0.017044,0.010387,0.019321,0.153558,0.004144,0.152306,0.156580,0.045153,0.817154,0.009617,0.338949,3.991419,0.942276,0.767114,0.382863,0.565989,0.542735,0.209061,0.262264,0.281724,0.220840,0.209127,0.314154,0.189317,0.025647,0.028597,0.027305,0.020612,0.013607,0.023612,0.007948,0.000812,0.027620,0.013763,0.029189,0.016677,0.009040,a
0.115731,0.027086,3.082737,0.254851,0.246331,0.956489,0.011177,0.294011,-25.567017,3.069951,-0.342029,-0.783487,-1.337974,0.477632,-0.535915,0.180976,0.136116,-0.376521,-0.075394,0.255026,-0.197581,0.037427,0.010839,0.025258,0.013534,0.009739,0.026703,0.007014,0.000453,0.016565,0.006172,0.015731,0.013674,0.025373,0.105528,0.016572,0.304611,0.126887,0.050892,0.709996,0.010804,0.292235,1.692583,0.882853,0.631006,0.371683,0.290598,0.431591,0.318201,0.318336,0.282658,0.229439,0.210596,0.191512,0.205233,0.048666,0.013351,0.034608,0.021521,0.009717,0.030300,0.006140,0.000532,0.035814,0.012859,0.027837,0.027084,0.010561,a
