@RELATION uploads/p/p
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {a,b,back,c,f,next,send,space}

@DATA
0.042196,0.050541,3.007397,0.127761,0.197939,0.179925,0.011565,0.048164,-24.762693,2.292945,-0.214997,-0.637309,-0.495674,0.438664,-0.165145,0.144028,-0.232058,0.116929,0.214658,-0.064152,0.026302,0.010153,0.004139,0.011798,0.021839,0.029106,0.010391,0.016961,0.009104,0.019701,0.027556,0.016974,0.008765,0.020740,0.040709,0.050250,0.590681,0.054837,0.038290,0.268198,0.006420,0.055115,3.872608,0.591356,0.631378,0.372566,0.200769,0.509614,0.217862,0.339780,0.182458,0.220229,0.240178,0.194151,0.107143,0.019760,0.003749,0.015306,0.024122,0.034002,0.012954,0.019719,0.013593,0.022605,0.033821,0.014286,0.017423,0.007106,a
0.035714,0.056245,3.135616,0.124830,0.195622,0.166278,0.013425,0.038242,-24.445432,2.475052,0.022367,-0.533494,-0.395866,0.380458,-0.247124,0.133143,-0.328087,0.116511,0.109159,-0.057429,0.031392,0.012855,0.011032,0.022115,0.025538,0.023487,0.012791,0.027053,0.013349,0.016445,0.017490,0.022390,0.008471,0.025701,0.032361,0.045565,0.341562,0.054311,0.043875,0.211664,0.007799,0.034712,3.503743,0.754397,0.586641,0.449354,0.237561,0.439444,0.199427,0.165303,0.084603,0.228577,0.267371,0.202042,0.128795,0.030341,0.030336,0.029163,0.027890,0.027964,0.017216,0.024157,0.024802,0.025234,0.015754,0.034387,0.019332,0.006517,a
0.034238,0.066166,3.168159,0.107466,0.173601,0.141764,0.015630,0.034204,-24.461833,2.371263,-0.155733,-0.569906,-0.537462,0.618103,-0.208260,0.193854,-0.437329,0.045982,0.142496,-0.059628,-0.138984,0.010099,0.006180,0.012260,0.021081,0.022779,0.017003,0.034368,0.020520,0.009416,0.014995,0.021004,0.014799,0.025894,0.028518,0.058308,0.164598,0.055867,0.047346,0.198239,0.010336,0.024601,3.494655,0.722311,0.550346,0.406622,0.249411,0.359995,0.203235,0.250989,0.238831,0.219901,0.202581,0.094138,0.115504,0.020364,0.013819,0.015957,0.024307,0.028037,0.028985,0.044617,0.041916,0.009320,0.013004,0.032504,0.026452,0.010113,a
0.038427,0.064480,3.061861,0.111116,0.178495,0.128911,0.016355,0.035251,-24.419735,2.416955,-0.406093,-0.492511,-0.519621,0.721299,-0.208660,0.107308,-0.392078,0.042327,0.294569,0.053819,-0.071981,0.008438,0.002956,0.008218,0.015025,0.030381,0.017030,0.035797,0.017419,0.026540,0.009924,0.021123,0.009095,0.026258,0.031697,0.054601,0.507607,0.058012,0.049481,0.196778,0.006956,0.024600,3.516457,0.547003,0.664316,0.382469,0.232798,0.361679,0.128157,0.244254,0.196296,0.218999,0.252151,0.120811,0.204040,0.008690,0.003143,0.008994,0.019288,0.039669,0.029093,0.042930,0.031496,0.046172,0.003903,0.025164,0.013024,0.010448,a
0.036263,0.061446,3.024453,0.097111,0.161256,0.108636,0.013204,0.031202,-24.768787,2.490839,-0.495929,-0.619039,-0.452234,0.667159,-0.183015,0.195798,-0.297878,0.074342,0.202156,0.024135,-0.052190,0.008105,0.004682,0.011116,0.026714,0.019772,0.012078,0.077835,0.027266,0.005851,0.011341,0.014665,0.009846,0.034666,0.028142,0.060833,0.413921,0.056299,0.050429,0.165155,0.009042,0.011941,3.449487,0.578953,0.688816,0.426625,0.193253,0.412627,0.228005,0.303701,0.158037,0.144920,0.291691,0.107612,0.136997,0.012245,0.004797,0.013943,0.042499,0.025810,0.016833,0.085274,0.051480,0.005219,0.013119,0.022991,0.020465,0.017953,a
0.040242,0.059445,2.965891,0.106013,0.176667,0.116924,0.011521,0.037275,-24.812238,2.502474,-0.785218,-0.515939,-0.467974,0.814148,-0.248420,0.050976,-0.337858,0.099383,0.117356,-0.020907,0.035455,0.005539,0.004174,0.007429,0.016301,0.022597,0.014002,0.088347,0.010594,0.008691,0.007447,0.017054,0.009532,0.031223,0.032655,0.056766,0.601206,0.054077,0.042293,0.205323,0.008672,0.026025,3.332519,0.535953,0.692398,0.476386,0.206788,0.438845,0.270673,0.344868,0.215860,0.199321,0.243024,0.097898,0.168267,0.006483,0.004127,0.009136,0.025407,0.034565,0.016873,0.088046,0.013841,0.010677,0.004055,0.016961,0.011364,0.019538,a
0.035714,0.043685,3.004924,0.108479,0.179755,0.131057,0.013302,0.038696,-25.523866,2.421571,-0.521061,-0.567257,-0.526399,0.707724,-0.215012,0.179904,-0.368924,0.068797,0.173433,0.073334,-0.014826,0.009287,0.007993,0.013390,0.016063,0.022145,0.015626,0.058189,0.047846,0.008583,0.013479,0.018914,0.005743,0.033974,0.030248,0.046840,0.578858,0.053226,0.041007,0.225215,0.007070,0.038392,3.777460,0.727498,0.770388,0.415745,0.298767,0.436317,0.200243,0.237973,0.143382,0.144384,0.189371,0.131223,0.208361,0.022235,0.014657,0.012421,0.029524,0.031221,0.025667,0.061007,0.074767,0.007059,0.011734,0.023718,0.008100,0.014444,a
0.038923,0.070423,3.130859,0.121413,0.191201,0.154853,0.016020,0.038696,-24.032314,2.588272,-0.082909,-0.475626,-0.610330,0.425852,-0.235216,0.195081,-0.238203,0.060821,0.156247,-0.107922,-0.094084,0.018756,0.009827,0.015077,0.027899,0.018673,0.011685,0.020430,0.005269,0.012273,0.022041,0.025958,0.014639,0.025744,0.036654,0.050294,0.332026,0.064136,0.048490,0.241554,0.012802,0.035198,3.289717,0.609756,0.578148,0.401476,0.294759,0.497461,0.153736,0.208736,0.122414,0.197925,0.220147,0.254606,0.157319,0.039926,0.026273,0.023552,0.028867,0.026741,0.016434,0.022060,0.008235,0.010774,0.026554,0.040751,0.034455,0.010053,a
0.036816,0.056180,3.042792,0.115486,0.185547,0.136673,0.011552,0.035131,-24.494503,2.494764,-0.206189,-0.451562,-0.458554,0.479264,-0.265656,0.160219,-0.277427,0.077783,0.197900,-0.017275,-0.016943,0.010425,0.006509,0.015762,0.021113,0.034198,0.013440,0.033266,0.024348,0.012224,0.018216,0.024457,0.010250,0.026682,0.034242,0.050637,0.512177,0.053834,0.048334,0.167698,0.006675,0.020050,3.528267,0.704803,0.701026,0.327973,0.244806,0.451654,0.180452,0.235056,0.183064,0.159062,0.247235,0.117992,0.153234,0.019072,0.014370,0.015233,0.023439,0.043068,0.016365,0.044597,0.043573,0.013687,0.013683,0.030782,0.022611,0.010686,a
0.035617,0.051329,3.043014,0.115502,0.186053,0.147765,0.013321,0.035779,-24.869395,2.490533,-0.373582,-0.465995,-0.411268,0.579448,-0.347451,0.124367,-0.303873,0.094394,0.149429,-0.052163,-0.087219,0.011026,0.005676,0.015420,0.016766,0.027901,0.020382,0.036586,0.035190,0.008512,0.010770,0.018991,0.015075,0.028342,0.029431,0.048771,0.539740,0.056389,0.045241,0.187294,0.008999,0.019209,3.694288,0.662715,0.709602,0.387729,0.329338,0.332481,0.214475,0.301156,0.163016,0.163499,0.181013,0.178230,0.177547,0.014358,0.009375,0.017825,0.024813,0.028499,0.028073,0.043702,0.068968,0.007690,0.005129,0.030172,0.022417,0.013712,a
